275,Transmission Electron Microscopy,https://link.springer.com/content/pdf/10.1007%2F978-1-4757-2519-3.pdf
282,Advanced Organic Chemistry,https://link.springer.com/content/pdf/10.1007%2F978-0-387-44899-2.pdf
283,Advanced Organic Chemistry,https://link.springer.com/content/pdf/10.1007%2F978-0-387-71481-3.pdf
293,Physics from Symmetry,https://link.springer.com/content/pdf/10.1007%2F978-3-319-66631-0.pdf
311,Engineering Mechanics 2,https://link.springer.com/content/pdf/10.1007%2F978-3-662-56272-7.pdf
312,Fundamentals of Business Process Management,https://link.springer.com/content/pdf/10.1007%2F978-3-662-56509-4.pdf
329,Applied Linear Algebra,https://link.springer.com/content/pdf/10.1007%2F978-3-319-91041-3.pdf
331,Proofs from THE BOOK,https://link.springer.com/content/pdf/10.1007%2F978-3-662-57265-8.pdf
340,Logical Foundations of Cyber-Physical Systems,https://link.springer.com/content/pdf/10.1007%2F978-3-319-63588-0.pdf
370,Philosophical and Mathematical Logic,https://link.springer.com/content/pdf/10.1007%2F978-3-030-03255-5.pdf
